year,id,espacios(rótulo_refined),Dirección,Epígrafe de actividad,Fecha de la inspección,Tipo de actuación,Perfil de la actividad,Estado higiénico sanitario,Frecuencia de inspección,macroetiquetas,year_2018,id_2,Fecha de la inspección_2,Tipo de actuación_2,Perfil de la actividad_2,Estado higiénico sanitario_2,Frecuencia de inspección_2,mejora o empeora,latitude,longitude,final_district,owner (education only),Denominación genérica,fuente alternativa
2018,5643,BENG & JERRY'S 2018,CARRETERA CASTILLA NUM 12 ,472903 - COMERCIO AL POR MENOR DE HELADOS CON OBRADOR SIN BARRA DE DEGUSTACION,05/05/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4574967,-3.7686412,Moncloa-Aravaca,,,
2018,5866,BUVETTE 2018,CARRETERA CASTILLA NUM 12 ,"472405 - COMERCIO AL POR MENOR DE PASTELERIA, CONFITERIA, REPOSTERIA SIN OBRADOR",05/05/2018,No programada,Prioridad media,Favorable,Media,comercio,,,,,,,,,40.4574967,-3.7686412,Moncloa-Aravaca,,,
2018,5245,CAFETERIA PISCINA,CARRETERA CASTILLA NUM 12 ,561006 - CAFETERIA,23/08/2018,Programada,Prioridad media,Favorable condicionado,Media,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Moncloa-Aravaca,,,
2018,5642,CARPA CSI EVENTOS 2018,CARRETERA CASTILLA NUM 12 ,563005 - BAR SIN COCINA,04/05/2018,No programada,Prioridad alta,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Moncloa-Aravaca,,,
2018,5863,CUCUMBER 2018 CONCURSO SALTOS CLUB CAMPO,CARRETERA CASTILLA NUM 12 ,561005 - BAR CON COCINA,05/05/2018,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Moncloa-Aravaca,,,
2018,5640,FELTMANS WOK & SOUL 2018,CARRETERA CASTILLA NUM 12 ,563005 - BAR SIN COCINA,05/05/2018,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Moncloa-Aravaca,,,
2018,5641,GOURMET COMARCA DE LAS VEGAS 2018,CARRETERA CASTILLA NUM 12 ,563005 - BAR SIN COCINA,05/05/2018,No programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Moncloa-Aravaca,,,
2018,5246,KIOSKO PISCINA INFANTIL,CARRETERA CASTILLA NUM 12 ,561006 - CAFETERIA,23/08/2018,Programada,Prioridad baja,Favorable,Baja,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Moncloa-Aravaca,,,
2018,5867,MA PETITE CREPERIE,CARRETERA CASTILLA NUM 12 ,563005 - BAR SIN COCINA,05/05/2018,No programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Moncloa-Aravaca,,,
2018,5862,NO FOOD 2018,CARRETERA CASTILLA NUM 12 ,561005 - BAR CON COCINA,05/05/2018,No programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.4574967,-3.7686412,Moncloa-Aravaca,,,
