year,id,espacios(rótulo_refined),Dirección,Epígrafe de actividad,Fecha de la inspección,Tipo de actuación,Perfil de la actividad,Estado higiénico sanitario,Frecuencia de inspección,macroetiquetas,year_2018,id_2,Fecha de la inspección_2,Tipo de actuación_2,Perfil de la actividad_2,Estado higiénico sanitario_2,Frecuencia de inspección_2,mejora o empeora,latitude,longitude,final_district,owner (education only),Denominación genérica,fuente alternativa
2019,3999,COLEGIO PÚBLICO,CALLE LOS YEBENES NUM 6 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,29/05/2019,Programada,Prioridad alta,Favorable,Alta,comedor social,2018,6696,07/03/2018,Programada,Prioridad alta,Favorable,Alta,Sin cambios,40.397443,-3.7553792,Latina,Centro público,,
2019,5,AMADEO VIVES (Escuela infantil),CALLE LOS YEBENES NUM 6 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,22/05/2019,Programada,Prioridad media,Desfavorable,Muy Alta,comedor social,2018,3,08/05/2018,Programada,Prioridad alta,Favorable,Alta,Empeora,40.397443,-3.7553792,Latina,Centro público,Infantil,
2018,foi,JUAN RARO,CALLE AMPARO NUM 84 ,561005 - BAR CON COCINA,,---,Prioridad media,Favorable,Media,bares/restaurantes,2018,6052,16/07/2018,Programada,Prioridad media,Desfavorable,Muy Alta,Mejora,40.4069318,-3.7008736,Centro,,,
2018,foi,CENTRO GERIATRICO HORTALEZA,CALLE LAS PEDROÑERAS NUM 38 ,562903 - SERVICIOS DE COMEDOR EN CENTROS PARA MAYORES,14/06/2018,---,Prioridad alta,Favorable condicionado,Alta,comedor social,,,,,,,,,40.4663262,-3.6305276,Hortaleza,Centro privado,,
2019,foi,E.I. CARANA CON COMEDOR,CALLE CARLOS SAN JOSE NUM 7 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,2019-04-22,---,Prioridad media,Favorable,Media,comedor social,2018,8643,15/03/2018,Programada,Prioridad media,Desfavorable,Muy Alta,Mejora,40.4659447,-3.7819093,Moncloa-Aravaca,Centro privado,Infantil,
2019,foi,CARRUSEL,CALLE SAN NAZARIO NUM 12 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,2019-03-05,---,Prioridad alta,Favorable,Alta,comedor social,2018,7959,10/07/2018,Programada,Prioridad alta,Desfavorable,Muy Alta,Mejora,40.4480672,-3.6667929,Chamartín,Centro privado,Infantil,
2019,foi,LEVADURA MADRE,AVENIDA REINA VICTORIA NUM 52 ,472402 - COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA SIN OBRADOR,2019-04-30,---,Prioridad media,Favorable,Media,comercio,,,,,,,,,40.4467071,-3.7119755,Moncloa-Aravaca,,,
2019,2121,CONCORDY SNACK BAR HOTEL,AUTOVIA A-6 KM. 1200 EN,551001 - HOTELES Y MOTELES CON RESTAURANTE,13/03/2019,No programada,Prioridad media,Favorable,Media,bares/restaurantes,2018,3617,04/09/2018,No programada,Prioridad media,Desfavorable,Muy Alta,Mejora,40.4653686,-3.8065797,Moncloa-Aravaca,,,
2019,2799,BURGER KING HIPODROMO,AUTOVIA A-6 KM. 800 SA,561002 - RESTAURANTES DE COMIDA RAPIDA,10/01/2019,Programada,Prioridad media,Favorable,Media,bares/restaurantes,2018,4841,05/09/2018,No programada,Prioridad alta,Favorable,Alta,Sin cambios,40.4378576,-3.8645911,Moncloa-Aravaca,,,
2019,4061,CAMPSA,AUTOVIA A-6 KM. 800 SA,"471101 - COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",10/01/2019,Programada,Prioridad baja,Favorable,Baja,comercio,2018,6792,05/09/2018,No programada,Prioridad baja,Favorable,Baja,Sin cambios,40.4378576,-3.8645911,Moncloa-Aravaca,,,
2019,3059,MEDITERRANEA,AUTOVIA M-50 KM. 3400 IN,561004 - BAR RESTAURANTE,04/03/2019,Programada,Prioridad alta,Desfavorable,Muy Alta,bares/restaurantes,2018,5225,10/04/2018,Programada,Prioridad media,Desfavorable,Muy Alta,Sin cambios,40.3328522,-3.6319233,Villa de Vallecas,,,
2018,5224,MEDITERRANEA,AUTOVIA M-50 KM. 3400 IN,551001 - HOTELES Y MOTELES CON RESTAURANTE,10/04/2018,Programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.3328522,-3.6319233,Villa de Vallecas,,,
2018,6924,LOS ALMENDROS,AUTOVIA M-607 KM. 1450 EN,562903 - SERVICIOS DE COMEDOR EN CENTROS PARA MAYORES,14/05/2018,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.5278709,-3.6917822,Fuencarral-El Pardo,,,
2019,142,SERVICIO COMEDOR C.P. SAN IGNACIO DE LOYOLA,AVENIDA ABRANTES NUM 15 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,26/03/2019,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.3841797,-3.7230575,Carabanchel,Centro público,Centro Mixto,
2019,1829,SERVICIO COMEDOR EN C P GONZALO DE BERCEO I,AVENIDA ABRANTES NUM 23 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,26/03/2019,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.3827937,-3.7254345,Carabanchel,Centro público,Centro Mixto,
2019,194,DIA,AVENIDA ABRANTES NUM 40 ,"471101 - COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",29/04/2019,Programada,Prioridad media,Desfavorable,Muy Alta,comercio,,,,,,,,,40.38192,-3.72695,Carabanchel,,,
2019,195,DIA,AVENIDA ABRANTES NUM 40 ,472401 - COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,29/04/2019,Programada,Prioridad media,Desfavorable,Muy Alta,comercio,,,,,,,,,40.38192,-3.72695,Carabanchel,,,
2018,3339,MIGAS,AVENIDA ABRANTES NUM 54 ,472401 - COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,24/05/2018,Programada,Prioridad media,Favorable condicionado,Media,comercio,,,,,,,,,40.3806239,-3.7285316,Carabanchel,,,
2019,3384,C.E.I.P. JULIAN BESTEIRO,AVENIDA ABRANTES NUM 79 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,20/02/2019,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.3803597,-3.727563,Carabanchel,Centro público,Centro Mixto,
2019,158,COMEDOR C.E.I.P. JULIAN BESTEIRO,AVENIDA ABRANTES NUM 79 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,20/02/2019,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.3803597,-3.727563,Carabanchel,Centro público,Centro Mixto,
2019,4171,CAFETERIA +QBAR,AVENIDA ABRANTES NUM 88 ,561005 - BAR CON COCINA,28/01/2019,Programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.3788743,-3.7310731,Carabanchel,,,
2018,4201,BAKER & COFFE,AVENIDA ALBERTO ALCOCER NUM 10 ,561006 - CAFETERIA,07/03/2018,Programada,Prioridad baja,Favorable,Baja,bares/restaurantes,,,,,,,,,40.4586451,-3.6870682,Chamartín,,,
2019,4962,JAPAN RESTAURANT ICHIBAN,AVENIDA ALBERTO ALCOCER NUM 22 B,561001 - RESTAURANTE,08/04/2019,No programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.4581063,-3.6847832,Chamartín,,,
2019,3767,THE LITTLE ONE,AVENIDA ALBERTO ALCOCER NUM 24 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,22/03/2019,Programada,Prioridad media,Favorable condicionado,Media,comedor social,2018,6293,18/06/2018,Programada,Prioridad media,Favorable,Media,Empeora,40.4581067,-3.6845359,Chamartín,Centro privado,Infantil,
2018,6302,PIPA AND CO,AVENIDA ALBERTO ALCOCER NUM 33 ,561006 - CAFETERIA,05/09/2018,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.4588004,-3.682128,Chamartín,,,
2019,3001,MC DONALD'S,AVENIDA ALBERTO ALCOCER NUM 37 ,561002 - RESTAURANTES DE COMIDA RAPIDA,04/01/2019,No programada,Prioridad baja,Favorable,Baja,bares/restaurantes,,,,,,,,,40.4588564,-3.6815579,Chamartín,,,
2018,1859,MALLORCA,AVENIDA ALBERTO ALCOCER NUM 48 ,"472403 - COMERCIO AL POR MENOR DE PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-BARRA DEGUSTACION",11/10/2018,Programada,Prioridad media,Desfavorable,Muy Alta,comercio,,,,,,,,,40.4584483,-3.6789799,Chamartín,,,
2018,1860,MALLORCA,AVENIDA ALBERTO ALCOCER NUM 48 ,561006 - CAFETERIA,11/10/2018,Programada,Prioridad baja,Desfavorable,Alta,bares/restaurantes,,,,,,,,,40.4584483,-3.6789799,Chamartín,,,
2018,1863,PUB THE KORNER,AVENIDA ALBERTO ALCOCER NUM 8 ,561006 - CAFETERIA,29/08/2018,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.4586308,-3.6872831,Chamartín,,,
2018,8259,NOUBA,AVENIDA ALBERTO ALCOCER NUM 9 B,561005 - BAR CON COCINA,21/06/2018,Programada,Prioridad alta,Favorable,Alta,bares/restaurantes,,,,,,,,,40.4606533,-3.6875453,Chamartín,,,
2019,2248,MC DONALD'S,AVENIDA ALBUFERA NUM 1 ,561004 - BAR RESTAURANTE,04/02/2019,Programada,Prioridad alta,Favorable,Alta,bares/restaurantes,,,,,,,,,40.3983467,-3.6687014,Puente de Vallecas,,,
2018,4854,LA CASA DE LA TORTILLA,AVENIDA ALBUFERA NUM 1 ,561006 - CAFETERIA,07/09/2018,Programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.3983467,-3.6687014,Puente de Vallecas,,,
2018,3834,CAFETERIA LA UÑA,AVENIDA ALBUFERA NUM 102 ,561005 - BAR CON COCINA,11/01/2018,Programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.3938526,-3.6609988,Puente de Vallecas,,,
2019,2544,DON FRUTA,AVENIDA ALBUFERA NUM 111 ,472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,07/05/2019,Programada,Prioridad baja,Favorable,Baja,comercio,2018,4387,15/03/2018,Programada,Prioridad media,Favorable,Media,Sin cambios,40.3937456,-3.6601256,Puente de Vallecas,,,
2019,4301,CAMPO DE FUTBOL DE VALLECAS,AVENIDA ALBUFERA NUM 114 ,561004 - BAR RESTAURANTE,13/03/2019,Programada,Prioridad alta,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.3925854,-3.6586047,Puente de Vallecas,,,
2019,4266,CERVECERIA AINHOA,AVENIDA ALBUFERA NUM 119 ,561005 - BAR CON COCINA,28/06/2019,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.3934034,-3.6593696,Puente de Vallecas,,,
2019,271,ALIMENTACION,AVENIDA ALBUFERA NUM 12 ,472911 - OTRO COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS (PERECEDEROS Y NO PERECEDEROS) CON VENDEDOR N.C.O.P.,12/02/2019,Programada,Prioridad baja,Desfavorable,Alta,comercio,2018,344,23/01/2018,Programada,Prioridad baja,Desfavorable,Alta,Sin cambios,40.3976329,-3.6682765,Puente de Vallecas,,,
2019,2312,FRUTAS Y VERDURAS (AUTOSERVICIO),AVENIDA ALBUFERA NUM 12 ,472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,09/04/2019,Programada,Prioridad baja,Favorable,Baja,comercio,2018,3943,04/04/2018,Programada,Prioridad media,Favorable,Media,Sin cambios,40.3976329,-3.6682765,Puente de Vallecas,,,
2019,2997,MERCADONA,AVENIDA ALBUFERA NUM 153 ,"471102 - COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (GRANDES SUPERFICIES)",21/02/2019,Programada,Prioridad alta,Favorable,Alta,comercio,2018,5142,17/12/2018,Programada,Prioridad alta,Favorable,Alta,Sin cambios,40.39255,-3.6557888,Puente de Vallecas,,,
2018,4094,BURGER KING (L11 Y L13),AVENIDA ALBUFERA NUM 153 ,561002 - RESTAURANTES DE COMIDA RAPIDA,30/10/2018,Programada,Prioridad baja,Favorable,Baja,bares/restaurantes,,,,,,,,,40.39255,-3.6557888,Puente de Vallecas,,,
2018,7055,FOSTER'S HOLLYWOOD,AVENIDA ALBUFERA NUM 153 ,561002 - RESTAURANTES DE COMIDA RAPIDA,20/11/2018,Programada,Prioridad alta,Favorable,Alta,bares/restaurantes,,,,,,,,,40.39255,-3.6557888,Puente de Vallecas,,,
2018,3741,LA VENTANA NATURAL,AVENIDA ALBUFERA NUM 153 ,472901 - COMERCIO AL POR MENOR DE PRODUCTOS DE HERBOLARIO,23/07/2018,No programada,Prioridad baja,Favorable condicionado,Baja,comercio,,,,,,,,,40.39255,-3.6557888,Puente de Vallecas,,,
2018,3799,MADRID JUEGOS,AVENIDA ALBUFERA NUM 17 ,563005 - BAR SIN COCINA,13/06/2018,No programada,Prioridad baja,Favorable,Baja,bares/restaurantes,,,,,,,,,40.3975683,-3.6674484,Puente de Vallecas,,,
2018,7149,HERBOLARIOS ARTESANOS,AVENIDA ALBUFERA NUM 19 ,472901 - COMERCIO AL POR MENOR DE PRODUCTOS DE HERBOLARIO,14/02/2018,No programada,Prioridad baja,Favorable condicionado,Baja,comercio,,,,,,,,,40.3975197,-3.6673694,Puente de Vallecas,,,
2019,1360,TIM HORTONS,AVENIDA ALBUFERA NUM 20 ,561005 - BAR CON COCINA,04/03/2019,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.3974409,-3.6679002,Puente de Vallecas,,,
2019,4771,PAPA JOHN'S,AVENIDA ALBUFERA NUM 226 ,561002 - RESTAURANTES DE COMIDA RAPIDA,25/02/2019,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.3909249,-3.6492941,Puente de Vallecas,,,
2018,7122,HELADERIA CAPRI,AVENIDA ALBUFERA NUM 232 ,561007 - CHOCOLATERIA/SALON DE TE Y HELADERIA,16/07/2018,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.39065,-3.64807,Puente de Vallecas,,,
2019,1386,CERVECERIA KARALLO,AVENIDA ALBUFERA NUM 240 ,561004 - BAR RESTAURANTE,11/02/2019,Programada,Prioridad media,Favorable condicionado,Media,bares/restaurantes,2018,2266,04/12/2018,Programada,Prioridad media,Desfavorable,Muy Alta,Mejora,40.390246,-3.6470985,Puente de Vallecas,,,
2019,2221,PANISIMO,AVENIDA ALBUFERA NUM 240 ,561006 - CAFETERIA,08/01/2019,Programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.390246,-3.6470985,Puente de Vallecas,,,
2019,1382,BAR CURRO,AVENIDA ALBUFERA NUM 246 ,561005 - BAR CON COCINA,11/02/2019,Programada,Prioridad media,Favorable condicionado,Media,bares/restaurantes,2018,2265,04/12/2018,Programada,Prioridad media,Desfavorable,Muy Alta,Mejora,40.3898409,-3.6461854,Puente de Vallecas,,,
2018,5395,CARNICERIA POLLERIA CHARCUTERIA,AVENIDA ALBUFERA NUM 246 ,472201 - COMERCIO AL POR MENOR DE CARNICERIA,21/11/2018,Programada,Prioridad baja,Desfavorable,Alta,comercio,,,,,,,,,40.3898409,-3.6461854,Puente de Vallecas,,,
2019,2390,VIPS,AVENIDA ALBUFERA NUM 25 ,561004 - BAR RESTAURANTE,22/04/2019,Programada,Prioridad alta,Favorable condicionado,Alta,bares/restaurantes,,,,,,,,,40.3972953,-3.6670058,Puente de Vallecas,,,
2019,285,DONER KEBAB,AVENIDA ALBUFERA NUM 28 ,561004 - BAR RESTAURANTE,31/05/2019,Programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,,,,,,,,,40.3971139,-3.6672138,Puente de Vallecas,,,
2019,4248,ALIMENTACION,AVENIDA ALBUFERA NUM 290 E,472907 - COMERCIO AL POR MENOR DE FRUTOS SECOS Y VARIANTES,19/02/2019,Programada,Prioridad baja,Favorable,Baja,comercio,2018,7112,24/10/2018,Programada,Prioridad baja,Desfavorable,Alta,Mejora,40.38636,-3.63956,Puente de Vallecas,,,
2019,2591,ALIMENTACION,AVENIDA ALBUFERA NUM 300 ,472911 - OTRO COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS (PERECEDEROS Y NO PERECEDEROS) CON VENDEDOR N.C.O.P.,18/02/2019,Programada,Prioridad baja,Favorable,Baja,comercio,2018,4462,31/05/2018,Programada,Prioridad baja,Desfavorable,Alta,Mejora,40.3861026,-3.6377097,Puente de Vallecas,,,
2019,4773,LA TAHONA DE ANDREA,AVENIDA ALBUFERA NUM 416 ,"472403 - COMERCIO AL POR MENOR DE PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-BARRA DEGUSTACION",11/02/2019,Programada,Prioridad media,Favorable,Media,comercio,,,,,,,,,40.3820058,-3.6297391,Puente de Vallecas,,,
2018,7894,LA TAHONA DE ANDREA,AVENIDA ALBUFERA NUM 416 ,561006 - CAFETERIA,23/11/2018,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.3820058,-3.6297391,Puente de Vallecas,,,
2019,356,ALIMENTACION,AVENIDA ALBUFERA NUM 50 ,"471101 - COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",01/04/2019,Programada,Prioridad baja,Favorable,Baja,comercio,2018,444,12/03/2018,Programada,Prioridad media,Favorable,Media,Sin cambios,40.3962532,-3.6655696,Puente de Vallecas,,,
2019,4226,RESTAURANTE CHINO LA CASA DEL DRAGON,AVENIDA ALBUFERA NUM 56 ,561001 - RESTAURANTE,03/04/2019,Programada,Prioridad media,Favorable,Media,bares/restaurantes,2018,7089,18/04/2018,No programada,Prioridad media,Favorable condicionado,Media,Mejora,40.3960668,-3.6652156,Puente de Vallecas,,,
2018,4399,PLATOS PREPARADOS,AVENIDA ALBUFERA NUM 60 ,472407 - ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS CON OBRADOR,13/06/2018,Programada,Prioridad media,Favorable,Media,comercio,,,,,,,,,40.3958714,-3.6648469,Puente de Vallecas,,,
2018,3205,LA ISLA DE VALLECAS,AVENIDA ALBUFERA NUM 69 ,561005 - BAR CON COCINA,12/11/2018,No programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.3955534,-3.663334,Puente de Vallecas,,,
2019,2073,LA CARRETA DE JAQUI,AVENIDA ALBUFERA NUM 72 ,"471101 - COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",24/05/2019,Programada,Prioridad baja,Favorable condicionado,Baja,comercio,2018,3523,13/09/2018,No programada,Prioridad baja,Favorable condicionado,Baja,Sin cambios,40.3953718,-3.6640469,Puente de Vallecas,,,
2018,7877,USA FITNESS NUTRITION,AVENIDA ALBUFERA NUM 98 ,472901 - COMERCIO AL POR MENOR DE PRODUCTOS DE HERBOLARIO,05/07/2018,No programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.3943167,-3.6618848,Puente de Vallecas,,,
2018,4558,CASETA 44 Y 45,AVENIDA ALBUFERA S/N 0 ,472202 - COMERCIO AL POR MENOR DE CHARCUTERIA,11/12/2018,No programada,Prioridad baja,Desfavorable,Alta,comercio,,,,,,,,,40.3911756,-3.6497547,Puente de Vallecas,,,
2019,3328,COMEDOR COLEGIO SAGRADO CORAZON,AVENIDA ALFONSO XIII NUM 127 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,08/05/2019,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.4600381,-3.6709639,Chamartín,Centro privado,Enseñanzas deportivas y artísticas,
2018,5638,COLEGIO SAGRADO CORAZON,AVENIDA ALFONSO XIII NUM 127 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,03/10/2018,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.4600381,-3.6709639,Chamartín,Centro privado,Enseñanzas deportivas y artísticas,
2018,5482,COMEDOR UNION CHRETIENNE DE SAINT CHAUMOND,AVENIDA ALFONSO XIII NUM 155 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,20/02/2018,Programada,Prioridad media,Favorable,Media,comedor social,,,,,,,,,40.4601237,-3.6779927,Chamartín,Centro privado,Centro Privado Extranjero,
2018,8235,SANTA CATALINA DE SENA,AVENIDA ALFONSO XIII NUM 160 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,10/05/2018,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.4603765,-3.6729512,Chamartín,Centro privado,Centro Mixto,
2019,3232,COMEDOR ST ANNE'S,AVENIDA ALFONSO XIII NUM 162 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,20/05/2019,Programada,Prioridad alta,Desfavorable,Muy Alta,comedor social,2018,5487,13/02/2018,Programada,Prioridad alta,Favorable,Alta,Empeora,40.4604386,-3.6741103,Chamartín,Centro privado,Centro Privado Extranjero,
2018,5516,COMEDOR COLEGIO NTRA. SRA. DE LA MERCED,AVENIDA ALFONSO XIII NUM 165 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,25/05/2018,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.460136,-3.679411,Chamartín,Centro privado,Centro Mixto,
2018,8237,RESIDENCIA ABEDUL,AVENIDA ALFONSO XIII NUM 188 ,562903 - SERVICIOS DE COMEDOR EN CENTROS PARA MAYORES,09/07/2018,Programada,Prioridad alta,Favorable,Alta,comedor social,,,,,,,,,40.460439,-3.6785151,Chamartín,,,
2019,3254,COMEDOR C.P. PADRE POVEDA,AVENIDA ALFONSO XIII NUM 23 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,27/02/2019,Programada,Prioridad alta,Favorable,Alta,comedor social,2018,5522,29/10/2018,Programada,Prioridad alta,Favorable,Alta,Sin cambios,40.4511664,-3.6678299,Chamartín,Centro público,Centro Mixto,
2019,4980,OSSOBUCO II,AVENIDA ALFONSO XIII NUM 30 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,30/01/2019,Programada,Prioridad alta,Favorable,Alta,comedor social,2018,8267,17/08/2018,Programada,Prioridad alta,Favorable,Alta,Sin cambios,40.4506906,-3.6672145,Chamartín,Centro privado,Infantil,
2019,1198,LAS NACIONES,AVENIDA ALFONSO XIII NUM 90 ,562902 - SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL,07/06/2019,Programada,Prioridad alta,Favorable condicionado,Alta,comedor social,2018,1857,07/11/2018,Programada,Prioridad alta,Favorable,Alta,Empeora,40.4556337,-3.6666613,Chamartín,Centro privado,Mixto,
2018,4235,CAFETERIA HONEY,AVENIDA AMERICA NUM 1 ,561006 - CAFETERIA,10/04/2018,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.438036,-3.6767007,Chamartín,,,
2018,8275,ALIMENTACION Y BAZAR,AVENIDA AMERICA NUM 11 ,471104 - COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS,05/04/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4382969,-3.6767946,Chamartín,,,
2019,3619,ALIMENTACION,AVENIDA AMERICA NUM 12 ,471104 - COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS,08/05/2019,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4381293,-3.6754363,Salamanca,,,
2019,2114,EL CAMARON,AVENIDA AMERICA NUM 15 ,561004 - BAR RESTAURANTE,10/05/2019,No programada,Prioridad media,Desfavorable,Muy Alta,bares/restaurantes,2018,3604,09/04/2018,Programada,Prioridad media,Favorable,Media,Empeora,40.4386805,-3.6761877,Chamartín,,,
2018,1851,CAFETERIA HERMANOS CABRERA,AVENIDA AMERICA NUM 23 ,561006 - CAFETERIA,05/04/2018,Programada,Prioridad media,Favorable,Media,bares/restaurantes,,,,,,,,,40.4389621,-3.6757329,Chamartín,,,
2019,4913,HOTEL ABBA MADRID,AVENIDA AMERICA NUM 32 ,551001 - HOTELES Y MOTELES CON RESTAURANTE,25/04/2019,Programada,Prioridad alta,Favorable,Alta,bares/restaurantes,2018,8154,15/11/2018,Programada,Prioridad alta,Favorable,Alta,Sin cambios,40.4388557,-3.6725838,Salamanca,,,
2019,3618,"FRUTERIA,ALIMENTACION Y LOCUTORIO",AVENIDA AMERICA NUM 4 ,"471101 - COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",06/06/2019,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4375247,-3.6765748,Salamanca,,,
2018,4646,ALIMENTACION Y BAZAR,AVENIDA AMERICA NUM 5 ,"471101 - COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS, CON PREDOMINIO EN PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO (AUTOSERVICIO)",20/03/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4495693,-3.6479604,Chamartín,,,
2018,4568,RODILLA,AVENIDA ANDES NUM 22 A,472407 - ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS CON OBRADOR,18/12/2018,Programada,Prioridad baja,Favorable,Baja,comercio,,,,,,,,,40.4547472,-3.6207919,Hortaleza,,,
2018,4569,RODILLA,AVENIDA ANDES NUM 22 A,561006 - CAFETERIA,18/12/2018,Programada,Prioridad baja,Favorable,Baja,bares/restaurantes,,,,,,,,,40.4547472,-3.6207919,Hortaleza,,,
2018,3547,MC DONALD'S,AVENIDA ANDES NUM 46 ,561001 - RESTAURANTE,18/05/2018,Programada,Prioridad alta,Favorable,Alta,bares/restaurantes,,,,,,,,,40.455486,-3.6186405,Hortaleza,,,
